Index,Epoch Info,Loss
299,0-14950/20565,3.6362
300,0-15000/20565,3.0127
301,0-15050/20565,3.3196
302,0-15100/20565,4.1456
303,0-15150/20565,3.5862
304,0-15200/20565,4.4260
305,0-15250/20565,3.5533
306,0-15300/20565,2.6886
307,0-15350/20565,4.7799
308,0-15400/20565,3.3324
309,0-15450/20565,3.1752
310,0-15500/20565,4.0077
311,0-15550/20565,4.1679
312,0-15600/20565,4.2197
313,0-15650/20565,4.1837
314,0-15700/20565,2.6650
315,0-15750/20565,4.4216
316,0-15800/20565,3.7078
317,0-15850/20565,3.5470
318,0-15900/20565,3.0744
319,0-15950/20565,2.9066
320,0-16000/20565,4.2701
321,0-16050/20565,5.2948
322,0-16100/20565,4.1526
323,0-16150/20565,4.1951
324,0-16200/20565,4.0142
325,0-16250/20565,4.0055
326,0-16300/20565,3.8406
327,0-16350/20565,3.6177
328,0-16400/20565,3.5435
329,0-16450/20565,3.9933
330,0-16500/20565,3.2738
331,0-16550/20565,3.3618
332,0-16600/20565,3.7857
333,0-16650/20565,4.6627
334,0-16700/20565,5.9710
335,0-16750/20565,2.9138
336,0-16800/20565,3.9061
337,0-16850/20565,4.4843
338,0-16900/20565,3.0707
339,0-16950/20565,3.8068
340,0-17000/20565,3.3959
341,0-17050/20565,3.0421
342,0-17100/20565,2.5443
343,0-17150/20565,4.5911
344,0-17200/20565,4.2009
345,0-17250/20565,3.0948
346,0-17300/20565,4.4472
347,0-17350/20565,2.7698
348,0-17400/20565,4.4674
349,0-17450/20565,2.9024
350,0-17500/20565,5.4761
351,0-17550/20565,3.9410
352,0-17600/20565,4.5762
353,0-17650/20565,3.7875
354,0-17700/20565,2.7414
355,0-17750/20565,2.8979
356,0-17800/20565,3.0767
357,0-17850/20565,3.4164
358,0-17900/20565,3.1278
359,0-17950/20565,2.4391
360,0-18000/20565,4.2986
361,0-18050/20565,4.1294
362,0-18100/20565,2.9754
363,0-18150/20565,3.1828
364,0-18200/20565,3.3345
365,0-18250/20565,2.7241
366,0-18300/20565,3.6922
367,0-18350/20565,3.6308
368,0-18400/20565,3.9981
369,0-18450/20565,3.9865
370,0-18500/20565,3.0556
371,0-18550/20565,2.9354
372,0-18600/20565,4.3472
373,0-18650/20565,3.8888
374,0-18700/20565,3.7880
375,0-18750/20565,3.9133
376,0-18800/20565,3.7769
377,0-18850/20565,3.3447
378,0-18900/20565,3.5177
379,0-18950/20565,4.8431
380,0-19000/20565,2.6055
381,0-19050/20565,2.2283
382,0-19100/20565,3.4028
383,0-19150/20565,2.4401
384,0-19200/20565,3.8127
385,0-19250/20565,3.0720
386,0-19300/20565,3.1174
387,0-19350/20565,4.4298
388,0-19400/20565,2.9495
389,0-19450/20565,2.9681
390,0-19500/20565,3.0742
391,0-19550/20565,3.8624
392,0-19600/20565,3.1020
393,0-19650/20565,3.4663
394,0-19700/20565,3.3720
395,0-19750/20565,3.2496
396,0-19800/20565,3.9406
397,0-19850/20565,3.4691
398,0-19900/20565,3.3949
399,0-19950/20565,4.3724
400,0-20000/20565,5.5635
401,0-20050/20565,4.2790
402,0-20100/20565,3.1776
403,0-20150/20565,3.0754
404,0-20200/20565,4.1502
405,0-20250/20565,2.3695
406,0-20300/20565,3.2692
407,0-20350/20565,4.3025
408,0-20400/20565,3.3183
409,0-20450/20565,5.4493
410,0-20500/20565,2.5094
411,0-20550/20565,2.5368
412,0-20564/20565,2.5708
421,1-0/20565,4.8544
424,1-50/20565,2.6268
425,1-100/20565,3.2184
426,1-150/20565,3.7658
427,1-200/20565,2.6658
428,1-250/20565,3.3373
429,1-300/20565,3.1671
430,1-350/20565,3.2101
431,1-400/20565,3.5128
432,1-450/20565,4.1940
433,1-500/20565,2.7023
434,1-550/20565,3.5898
435,1-600/20565,4.0360
436,1-650/20565,2.9622
437,1-700/20565,4.0423
438,1-750/20565,5.1488
439,1-800/20565,3.3191
440,1-850/20565,3.5046
441,1-900/20565,2.9044
442,1-950/20565,2.7234
443,1-1000/20565,2.9408
444,1-1050/20565,3.0704
445,1-1100/20565,2.8872
446,1-1150/20565,3.1889
447,1-1200/20565,3.2606
448,1-1250/20565,3.8409
449,1-1300/20565,3.1925
450,1-1350/20565,6.2380
451,1-1400/20565,2.7425
452,1-1450/20565,3.5588
453,1-1500/20565,3.1547
454,1-1550/20565,2.5574
455,1-1600/20565,3.9106
456,1-1650/20565,3.2061
457,1-1700/20565,3.0113
458,1-1750/20565,4.0319
459,1-1800/20565,2.9365
460,1-1850/20565,3.2807
461,1-1900/20565,2.2696
462,1-1950/20565,3.8198
463,1-2000/20565,4.0842
464,1-2050/20565,3.2603
465,1-2100/20565,3.6276
466,1-2150/20565,3.6563
467,1-2200/20565,3.0714
468,1-2250/20565,3.8949
469,1-2300/20565,3.4621
470,1-2350/20565,3.7836
471,1-2400/20565,3.1364
472,1-2450/20565,4.7351
473,1-2500/20565,3.7426
474,1-2550/20565,3.7360
475,1-2600/20565,4.6478
476,1-2650/20565,3.4150
477,1-2700/20565,3.8456
478,1-2750/20565,3.5117
479,1-2800/20565,2.6111
480,1-2850/20565,2.8950
481,1-2900/20565,3.4062
482,1-2950/20565,3.8445
483,1-3000/20565,2.5496
484,1-3050/20565,3.5794
485,1-3100/20565,4.1525
486,1-3150/20565,2.2961
487,1-3200/20565,3.5751
488,1-3250/20565,3.8395
489,1-3300/20565,3.2845
490,1-3350/20565,2.5842
491,1-3400/20565,4.4494
492,1-3450/20565,3.0739
493,1-3500/20565,3.5020
494,1-3550/20565,3.4865
495,1-3600/20565,3.0466
496,1-3650/20565,3.4890
497,1-3700/20565,3.8153
498,1-3750/20565,3.7595
499,1-3800/20565,2.6491
500,1-3850/20565,3.1846
501,1-3900/20565,4.0061
502,1-3950/20565,2.7347
503,1-4000/20565,3.7671
504,1-4050/20565,4.2122
505,1-4100/20565,3.3972
506,1-4150/20565,2.5762
507,1-4200/20565,4.2683
508,1-4250/20565,2.7221
509,1-4300/20565,3.4112
510,1-4350/20565,3.4876
511,1-4400/20565,4.0944
512,1-4450/20565,3.2324
513,1-4500/20565,2.5159
514,1-4550/20565,3.7713
515,1-4600/20565,3.7396
516,1-4650/20565,3.4136
517,1-4700/20565,3.3733
518,1-4750/20565,3.0580
519,1-4800/20565,3.6638
520,1-4850/20565,4.7232
521,1-4900/20565,2.7460
522,1-4950/20565,2.3898
523,1-5000/20565,3.3340
524,1-5050/20565,3.2243
525,1-5100/20565,2.2959
526,1-5150/20565,3.3696
527,1-5200/20565,2.6560
528,1-5250/20565,3.2875
529,1-5300/20565,5.9217
530,1-5350/20565,2.9952
531,1-5400/20565,3.4757
532,1-5450/20565,3.0661
533,1-5500/20565,3.0681
534,1-5550/20565,2.8112
535,1-5600/20565,4.1727
536,1-5650/20565,2.9653
537,1-5700/20565,3.7691
538,1-5750/20565,4.0146
539,1-5800/20565,3.6852
540,1-5850/20565,4.0705
541,1-5900/20565,3.5077
542,1-5950/20565,3.8798
543,1-6000/20565,4.0353
544,1-6050/20565,2.1161
545,1-6100/20565,3.4528
546,1-6150/20565,2.1646
547,1-6200/20565,2.5139
548,1-6250/20565,2.8153
549,1-6300/20565,3.6581
550,1-6350/20565,4.1982
551,1-6400/20565,3.8768
552,1-6450/20565,3.0233
553,1-6500/20565,3.1380
554,1-6550/20565,3.6988
555,1-6600/20565,2.3567
